"id","authorlist","title"
"F1","Eric Ayars","Development of a high-resolution coincidence counter using the Cypress PSoC"
"F2","Ben Van Dusen & Jayson Nissen","The Multifaceted Issue of Equity in Physics Classes: A Learning Assistant Study"
"GF1","Katie Williams, Julie Holland, Joan Giampaoli","Preliminary Psychometric Testing of a Novel Implicit Association Test of Infant Feeding Attitudes (BRST-IAT)"
"GF2","Stephanie Parker, Don Miller","The Impacts of Gall Size and Shape on Housekeeping Behavior of the Gall-inducing Aphid, Tamalia coweni"
"GF3","Drew Gilberti, Chris Ivey","Understanding Sweet Bottom-Up and Top-Down Trophic Cascades- Disholcaspis eldoradensis"
"GF4","Sean Lucas, Jay Smart, Ann Bykerk-Kauffman","The Painted Gorge fault, a potentially active dextral fault in the northeastern Coyote Mountains, Salton Trough, California"
"GF5","Katherine Jensen, Ed Slattery, Lauren Housley","Sulforaphane reduces proliferation of triple negative breast cancer cells"
"GF6","Allen LaGrange, Kristen M. Kaczynski, Jeremy R. Shaw, Kirsten Bovee","Response of Wet Meadow Vegetation along a Hydrological Gradient after Passive Restoration"
"GF7","Nicholas M. Balfour, Carlos A. Estrada, Rebecca A. Pilakowski, Dylan K. Stompe, Amanda L., Banet","Impact of increased incubation temperature and thermal stress on the aerobic scope and thermal tolerance of juvenile rainbow trout (Oncorhynchus mykiss)"
"GF8","Payton Laurie, David L. Stachura","ccl44 plays a key role in hematopoietic stem and progenitor cell proliferation"
"GF9","Rebecca Belmonte, Erin Ahn, and David L Stachura","SON is necessary for proper blood maturation"
"GF10","Tina Hanson, Stephanie Aguiar, Skylar Tomasetti, Kallie Griffin, Sofia Rodriguez, Jesse Smith, David Stachura, Carolynn Arpin","Analysis of novel inhibitors of the GRB2 SH2 domain that decrease proliferation in chronic myeloid leukemia"
"GF11","Elizabeth Bianchini, Analucia Barragan Trejo, Raymond Bogiatto, Robin Donatello, Magdalena Plancarte, Walter Boyce, Troy Cline","Characterizing the ecology of avian influenza virus in waterfowl in the Pacific Flyway"
